iteration [];theta [°];theta [rad];Couple [Nm];omega [rad/s]
325;246.201904;4.297034;0.013171;70.675978
326;266.486813;4.651072;0.033416;70.807692
327;286.867454;5.006782;0.028422;71.141856
328;307.329517;5.363912;0.015648;71.426074
329;327.836409;5.721825;0.032463;71.582557
330;348.436300;6.081361;0.028870;71.907186
331;9.118898;0.159155;0.017885;72.195884
332;29.852731;0.521028;0.030275;72.374734
333;50.673297;0.884416;0.029637;72.677484
334;71.578767;1.249285;0.020434;72.973856
335;92.542777;1.615176;0.002463;73.178200
336;113.513844;1.981190;0.031707;73.202834
337;134.575746;2.348790;0.024647;73.519905
338;155.708255;2.717622;0.011342;73.766373
339;176.873256;3.087021;0.036200;73.879792
340;198.141962;3.458230;0.028074;74.241788
341;219.491095;3.830842;0.018239;74.522532
342;240.892479;4.204367;0.000265;74.704923
343;262.294623;4.577905;0.031989;74.707575
344;283.788409;4.953042;0.023009;75.027467
345;305.348112;5.329330;0.011950;75.257561
346;326.942050;5.706215;0.032690;75.377065
347;348.629639;6.084735;0.028815;75.703967
348;10.399776;0.181510;0.018679;75.992113
349;32.223424;0.562405;0.001932;76.178903
350;54.052607;0.943396;0.031132;76.198224
351;75.970977;1.325944;0.027078;76.509544
352;97.966919;1.709845;0.016155;76.780323
353;120.009142;2.094555;-0.001136;76.941872
354;142.048110;2.479207;0.031970;76.930512
355;164.178666;2.865458;0.023097;77.250213
356;186.375391;3.252864;0.013535;77.481186
357;208.610890;3.640947;0.031393;77.616536
358;230.936325;4.030599;0.029627;77.930469
359;253.346636;4.421733;0.022904;78.226740
360;275.822562;4.814012;0.011605;78.455783
361;298.331732;5.206871;0.034304;78.571828
362;320.939176;5.601445;0.028850;78.914865
363;343.629268;5.997462;0.022957;79.203362
364;6.385126;0.111441;0.013555;79.432931
365;29.179817;0.509284;0.030512;79.568479
366;52.061916;0.908652;0.033548;79.873595
367;75.040122;1.309697;0.024965;80.209071
368;98.089849;1.711991;0.016329;80.458725
369;121.186355;2.115101;0.000725;80.622016
370;144.284938;2.518247;0.029102;80.629263
371;167.466891;2.922849;0.028586;80.920283
372;190.730738;3.328879;0.019976;81.206143
373;214.051810;3.735909;0.006648;81.405899
374;237.391927;4.143271;0.035333;81.472377
375;260.833266;4.552399;0.028830;81.825710
376;284.357198;4.962969;0.023115;82.114015
377;307.947349;5.374695;0.016600;82.345161
